Unnamed: 0	Mô tả hàng hóa	Mã HS
	Chế phẩm thực phẩm, dạng viên dẹt (đường kính ≈ 1cm), có thành phần chính từ sữa chua, bổ sung thêm hoa quả (kiwi), đường, tinh bột (≈ 2,7%) và phụ liệu khác, đóng gói 20g/túi. Sản phẩm có tên thương mại Gold Kiwi Yoghurt Drops.	19019039
	Chế phẩm thực phẩm, dạng viên dẹt (đường kính ≈ 1cm), có thành phần chính từ sữa chua, đường, tinh bột (≈ 2,7%) và phụ liệu khác, đóng gói 20g/túi. Sản phẩm có tên thương mại Natural Greek Style Yoghurt Drops.	19019039
	Chế phẩm thực phẩm, dạng viên dẹt (đường kính ≈ 1cm), có thành phần chính từ sữa chua, bổ sung thêm hoa quả (chanh leo), đường, tinh bột (≈ 2,4%), và phụ liệu khác, đóng gói 20g/túi. Sản phẩm có tên thương mại Passionfruit Yoghurt Drops.	19019039
	mứt khoai lang (hàm lượng chì < 1 mg/kg), dạng lát mỏng.	20079920
	mứt khoai lang tím (hàm lượng chì < 1 mg/kg), đóng gói riêng từng miếng.	20079920
	khoai lang chiên sấy giòn (hàm lượng chì < 1 mg/kg), thành phần gồm củ khoai lang, đường, dầu thực vật và phụ gia thực phẩm, dạng miếng.	20089930
	Chế phẩm hóa học có thành phần chính là hợp chất ether, hợp chất của titan và phụ gia, dạng lỏng	38249999
	Nhôm hợp kim được tạo thành từ quá trình cán nóng liên tục ở dạng dây và cắt thành viên, kích cỡ (đường kính x chiều dài) ≈ 13mm x (12~15)mm, sử dụng để khử Ôxy trong luyện thép	76012000
	Hợp kim ferro silic đất hiếm, dạng cục	72029900
	Sắt hợp kim có hình dạng cán phẳng, được tạo thành bằng phương pháp đúc trực tiếp và làm nguội nhanh, dày 0.025mm, rộng 213mm, bề mặt chưa phủ, mạ hoặc tráng, dạng cuộn	72269919
	Bánh Bourbon đậu phộng bơ - Peapari Peanuts Butter Fumi ( Snack ) , 58g / hộp , 40 hộp / thùng , nsx Bourbon Corporation . HSD : 03/2021 . Hàng mới 100 %	19059080
	Thép hợp kim trong đó Bo là nguyên tố duy nhất quyết định yếu tố thép hợp kim (hàm lượng B > 0,0008% tính theo trọng lượng), cán nóng, dạng thép góc, có hình dạng mặt cắt ngang giống như chữ L, hai cạnh có độ dài bằng nhau, có chiều cao trên 80mm	72287010
	Thép silic kỹ thuật điện cán phẳng, có các hạt tinh thể (cấu trúc tế vi) có định hướng, dày 0,27mm, rộng 500mm, dạng cuộn	72261190
	Keo dựa trên tinh bột biến tính có thành phần chính là hỗn hợp tinh bột biến tính, xenlulo và phụ gia, dạng bột, đóng gói trọng lượng tịnh lớn hơn 1kg, dùng làm chất kết dính bột quặng thành dạng viên để luyện kim.	35052000
	Sản phẩm từ cao su đã được lưu hóa , mềm dẻo không xốp , dạng phẫu thường dùng để hút chuyển tờ giấy trong máy in	40169959
	Chế phẩm chứa dầu có nguồn gốc từ dầu mỏ lớn hơn 70%, thuộc phân đoạn dầu nhẹ và phụ gia	27101299
	Sản phẩm bằng cao su đã lưu hóa , mềm dẻo không xốp , dạng vành khăn đường kính ngoài 29,5 mm , đường kính trong 14 mm và chiều dày 0,8mm , thường dùng để hút chuyển giấy trong máy in	40169959
	Mẫu yêu cầu phân tích là chế phẩm thực phẩm bổ sung, dạng lỏng, không chứa cồn, không có ga, có thành phần chính là đạm, đường, béo, hương liệu,... đóng gói 237ml/chai. Công dụng: Bổ sung cho chế độ dinh dưỡng mất cân đối hoặc thay thế bữa ăn cho người khó nuốt. Hướng dẫn sử dụng: Dùng cho trẻ trên 2 tuổi, dùng đường uống, thích hợp cho trẻ với lactose intolerance, không dùng cho trẻ với galactosemia.	22029950
	Sản phẩm ở dạng hình trụ tròn, đường kính 40mm, chiều dài 1630mm, gồm 2 phần: Phần bên ngoài gồm các chất liệu khoáng corundum (Al2O3), khoáng Graphite (C), Crom oxit (Cr2O3), Silic oxit (SiO2), chưa nung và phần này đem lại đặc trưng chính cho sản phẩm, có chiều dày là 22mm, Phần bên trong lõi bằng kim loại và chỉ mang tính hỗ trợ, có đường kính là 18mm.	68159900
	Sản phẩm từ các chất liệu khoáng corundum (Al2O3), khoáng Gupeiite (Fe3Si), Crom oxit (Cr2O3), Silic oxit (SiO2), chưa nung (hình dạng, kích thước theo khai báo: hình nón cụt, được khoét tạo rãnh, rỗng giữa và 2 đáy, đường kính lớn nhất 320mm, đường kính nhỏ nhất 18mm, chiều cao 178mm).	68159900
	Chế phẩm cà phê dạng bột có thành phần gồm: Bột cà phê hòa tan, đường, bột kem, protein, dầu béo, hương liệu và phụ gia, đã đóng gói bán lẻ 24g/gói, 7 gói/bịch. Hướng dẫn sử dụng: Hòa tan 1 gói (24g) với 150ml nước ở 80 độ C, có thể thêm đá nếu uống lạnh.	21011291
	Chế phẩm tạo hương, vị dùng trong sx thực phẩm, dạng lỏng, thành phần chứa dầu ớt, hỗn hợp các hương citronella, citral, piene, camphene, limonene, eucalyptol,..., dầu thực vật.	21069098
	Chế phẩm hóa học có chứa poly(propylene glycol), hợp chất amin hữu cơ, dạng lỏng	39249999
	Dầu hạt vừng (mè) thô, dạng lỏng, đóng gói 500ml/chai.	15155010
	Thuốc chứa thành phần cao lá thường xuân và tá dược; dạng đường uống, dùng để điều trị ho, đã đóng gói để bán lẻ, dung tích 100ml/lọ/hộp.	30049059
	Muội carbon, loại dùng để sản xuất cao su.	28030041
	Sản phẩm mang đặc trưng của sản phẩm nhựa, cấu tạo từ vải dệt kim đi từ polyeste đã được bao bọc hoàn toàn bằng poly (vinyl chloride) không xốp, định lượng 301,3 g/m2, dạng cuộn, khổ lớn hơn 1m.	39219090
	Tri(propylene glycol) butyl ether.	29094900
	Chế phẩm hóa học có thành phần chính là axit citric và phụ gia, dạng lỏng.	38249999
	Màng plastic từ polyetylen (polyme trùng hợp), loại tự dính, dày 0,03 mm, dạng cuộn khổ 1165 mm.	39199092
	Mẫu yêu cầu phân tích là chế phẩm thực phẩm từ bột ngô nghiền , mảnh hạt hạnh nhân , cùi dừa băm nhỏ , đã được xử 2 lý nhiệt ( toasted ) , đã trộn thêm đường , không chứa cacao , thường dùng làm topping trong sản xuất các loại bánh , đóng gói 10kg / túi	19019099
	Chế phẩm có chứa chất hoạt động bề mặt nonionic, dạng lỏng, đã đóng gói bán lẻ dung tích 520ml	34022014
	Thép không hợp kim, không phải thép dễ cắt gọt, hàm lượng C ≈ 0,497%, Mn ≈ 0,828%,… tính theo trọng lượng, dạng thanh tròn trơn, đường kính 38mm, cán nóng, chưa được tráng, phủ, mạ hoặc sơn	72149992
	Chế phẩm hóa học có thành phần chính là axit sulphuric, axit clohydric, dạng lỏng, dùng để xử lý nước	38249999
	Chế phẩm hóa học có thành phần chính là hỗn hợp tinh bột biến tính, caco3, sio2 và phụ gia, dạng bột, đóng gói 100 kg/bao và dùng làm chất kết dính (binders) bột than thành dạng viên để luyện kim.	35052000
	Dung môi trắng (white spirit)	27101250
	Tấm nhựa xốp từ polyetylen tự dính, một mặt dập hoa văn lồi lõm giả đá ốp màu trắng và một mặt phủ keo tự dính, kích thước (765 x 700 x 2) mm, thường dùng để dán tường.	39199092
	Chế phẩm chất thơm có nguồn gốc từ thực vật, tinh bột biến tính, proppylen glycol... dạng lỏng, dùng để tạo hương trong sản xuất thực phẩm	33021090
	Mẫu yêu cầu phân tích là kem tẩy tế bào chết thành phần gồm glycerin, bentonite, nước và phụ gia, đã đóng gói bán lẻ.	33049930
	Dipropylene Glycol Methyl Ether Acetate.	29153990
	Chế phẩm làm sạch chứa chất hoạt động bề mặt dạng anion và không phân ly..., dạng lỏng, đã đóng gói để bán lẻ 2 lít/chai	34022015
	whey protein thủy phân, hàm lượng protein ≈ 78,5%, dạng bột, dùng trong chế biến thực phẩm.	21069099
	Vải dệt thoi từ các sợi có mầu khác nhau, thành phần 100% xơ len lông cừu chải kỹ, chưa tráng phủ hay ngâm tẩm, trọng lượng 143g/m², dạng cuộn, khổ lớn hơn 1m.	51121100
	Bột canxi carbonat đã được tráng phủ dẫn xuất nhựa cây	38249999
	Canxi cacbonat tổng hợp, dạng bột, dùng trong công nghiệp (theo khai báo hải quan)	28365090
	Hỗn hợp dung môi hydrocarbon thuộc phân đoạn dầu nhẹ thành phần gồm hydrocarbon từ C8-C12, điểm sôi đầu IBP ở 150 oC, thể tích cất 95% ở 180 o C, dạng lỏng. Hàm lượng hydrocarbon thơm ≈ 13.3%	27101270
	Axit Glycolic.	29181900
	1,3-Diethyl-2-thiourea.	29309090
	Chế phẩm hóa học có thành phần chính là dextrin, silic đioxit và chất phụ gia, dạng bột, đóng gói 25kg/bao, dùng làm chất kết dính (binders)bột cacbua silic trong sản xuất viên cacbua silic.	35052000
	Erythritol	29054900
	Chế phẩm có chứa chiết xuất bột dâu, maltodextrin, tinh bột, axit citric, màu, hương liệu..., dạng bột, dùng làm nguyên liệu trong chế biến thực phẩm.	21099099
	Chế phẩm thực phẩm thành phần có chứa hỗn hợp các chiết xuất từ dâu, việt quất, mạn việt quất, phúc bồn tử và maltodextrin, tinh bột, chất tạo hương, màu, citric axit..., dạng bột, dùng làm nguyên liệu trong chế biến thực phẩm.	21069099
	Chế phẩm đường chế biến sẵn có thể dùng ngay để trang trí bánh, dạng khối mềm, thành phần có chứa đường glucose ~39,2%, đường fructose ~36%, đường saccarose ~11%, chất béo ~4,2%, gum, hương liệu và phụ gia, dạng khối mềm, đóng gói 1kg/hộp.	17049099
	Stannous 2-ethylhexanonate	29159090
	Chế phẩm hỗn hợp của tinh bột, lá sen, thảo quyết minh, muối natri clorua,... dạng bột, thường dùng làm nguyên liệu sản xuất thực phẩm chức năng.	21069099
	Chế phẩm ức chế ăn mòn có thành phần chính là muối natri của axit sulfonic hữu cơ và phụ gia, dạng lỏng	38249999
	Chế phẩm thực phẩm , thành phần có chứa : bột sữa ( skimmed milk ) , whey , đường ( saccarose , fructose , glucose ) , bơ ( butter ) , hương tự nhiên , dạng bột .đường ( saccarose , fructose , glucose ) , bơ ( butter ) , hương tự nhiên , dạng bột . Theo công văn giải trình công dụng và tài liệu kỹ thuật : mặt hàng được sử dụng làm nguyên liệu trong sản xuất các sản phẩm sô - cô - la , hàm lượng sử dụng 10-20 % , để tạo vị caramel sữa ai	19019031
	Chế phẩm hỗn hợp của tinh bột, lá sen, thảo quyết minh, nghệ, muối natri clorua,… dạng bột, thường dùng làm nguyên liệu sản xuất thực phẩm chức năng.	21069099
	Silic dioxit phân tán trong nước, dạng dịch keo (colloidal silica	38249999
	MàngPoly(ethylene terephthalate) không xốp và chưa được gia cố, chưa gắn lớp mặt, chưa được bổ trợ hoặc kết hợp tương tự với các vật liệu khác, chiều rộng 585mm, dày 0.04mm	39206290
	Hỗn hợp có thành phần gồm: quế, tiêu, đại hồi, bạch đậu khấu, đinh hương, rau mùi, dạng bột, đã đóng gói bán lẻ trong bao nylon, trọng lượng 35g/bao.	9109190
	Đậu lăng (lentils) khô, đã bóc vỏ quả, đã bóc vỏ hạt và chưa làm vỡ hạt, dạng đóng gói để bán lẻ, dùng làm thực phẩm.	7134090
	Đậu tây (red kidney) khô, đã bóc vỏ quả, chưa bóc vỏ hạt và chưa làm vỡ hạt, dạng đóng gói để bán lẻ, dùng làm thực phẩm.	7133390
	Đậu gà (chickpeas) (garbanzos) khô, đã bóc vỏ quả, chưa làm vỡ hạt, dạng đóng gói để bán lẻ, dùng làm thực phẩm.	7132090
	Đậu đen khô, đã bóc vỏ quả, chưa bóc vỏ hạt và chưa làm vỡ hạt, dạng đóng gói để bán lẻ, dùng làm thực phẩm.	7133590
	Đâu hà lan khô, đã bóc vỏ quả, đã bóc vỏ hạt và chưa làm vỡ hạt, dạng đóng gói để bán lẻ, dùng làm thực phẩm.	7131090
	Bột rau mùi tây (Parsley) đã sấy khô.	7129090
	Giấy từ bột giấy đã tẩy trắng, 2 mặt được tráng phủ bằng canci cacbonat và cao lanh, trong đó một mặt có một phần được quét lớp keo dính, loại không tự dính. Định lượng 108,7g/m2, dạng tờ, đã cắt thành hình trừ hình chữ nhật hoặc hình vuông (hình thang, kích thước 36x17x16cm).	48239096
	Sản phẩm làm từ bột ngô, theo quy trình sản xuất mẫu được sản xuất bằng phương pháp ép đùn và được sử dụng để sản xuất snack.	19021990
	bột vỏ cây bời lời (Litsea), dùng để làm nhang.	1211909890
	-(4-methoxy-2,2,6,6-tetramethyl-1-piperidyl)ethyl 4-oxopentanoate	29333990
	Chế phẩm hỗn hợp có chứa tinh bột, lá sen, phục linh, thảo quyết minh, muối natri clorua,… dạng bột, thường dùng làm nguyên liệu sản xuất thực phẩm chức năng.	21069099
	Dung môi có nguồn gốc từ dầu mỏ, thành phần chính gồm hỗn hợp ankan từ C11-C13, điểm sôi đầu ở 179 oC, cất được 99% thể tích ở 192 oC	27101270
	Đất sét biến tính hữu cơ, dạng bột	38249999
	whey protein thủy phân , hàm lượng protein 76 % , dạng bột , dùng trong chế biến thực phẩm	21069099
	Sản phẩm thực phẩm dạng hình nón có cấu tạo gồm 2 lớp: lớp vỏ ngoài màu vàng, xốp, giòn, chứa đường, tinh bột, được cuộn lại tạo hình cho sản phẩm, bên trong là lớp kem, mềm, màu hồng, chứa đạm, đường, chất béo, … đã được bao gói nilon kín, đóng gói 300g/túi.	19053220
	Sản phẩm thực phẩm dạng hình nón, có cấu tạo gồm 2 lớp: lớp vỏ ngoài màu vàng, xốp, giòn, chứa đường, tinh bột, được cuộn lại tạo hình cho sản phẩm, bên trong là lớp kem, mềm, màu xanh lá cây, chứa đạm, đường, chất béo, … đã được bao gói nilon kín, đóng gói 300g/túi	19053220
	Sản phẩm thực phẩm dạng hình nón, có cấu tạo gồm 2 lớp: lớp vỏ ngoài màu vàng, xốp, giòn, chứa đường, tinh bột, được cuộn lại tạo hình cho sản phẩm, bên trong là lớp kem, mềm, màu nâu, chứa đạm, đường, chất béo, … đã được bao gói nilon kín, đóng gói 300g/túi.	19053220
	Kẹo cứng chứa đường, chất béo, … hình chữ nhật có gắn hạt hạnh nhân ở giữa, đã được bao gói nilon kín, trọng lượng: 238g/túi.	17049099
	Sản phẩm dạng khối cầu (đường kính ≈ 2cm), gồm 3 lớp chính, lớp ngoài cùng là lớp kem mềm, màu trắng, bề mặt có phủ mảnh đậu phộng, bao bọc toàn bộ sản phẩm, lớp tiếp theo là lớp bánh xốp tạo lên dạng khối cầu cho sản phẩm, màu vàng nâu, lớp trong cùng là lớp nhân mềm, màu trắng, đóng gói 150g/túi.	19053220
	Sản phẩm dạng khối cầu (đường kính ≈ 2cm), gồm 3 lớp chính, lớp ngoài cùng là lớp kem mềm, màu trắng, bề mặt có phủ dừa nạo, bao bọc toàn bộ sản phẩm, lớp tiếp theo là lớp bánh xốp tạo lên dạng khối cầu cho sản phẩm, màu vàng nâu, lớp trong cùng là lớp nhân mềm, màu trắng, đóng gói 150g/túi.	19053220
	Hexandiol diacrylate	29161200
	Sản phẩm đóng gói 200g/hộp giấy, bao gồm hỗn hợp: - Sản phẩm dạng khối cầu (đường kính ≈ 2cm), gồm 3 lớp chính, lớp ngoài cùng là lớp kem mềm, màu trắng, bề mặt có phủ mảnh đậu phộng, bao bọc toàn bộ sản phẩm, lớp tiếp theo là lớp bánh xốp tạo lên dạng khối cầu cho sản phẩm, màu vàng nâu, lớp trong cùng là lớp nhân mềm, màu nâu.	19053220
	Bộ sản phẩm bao gồm: Một gói nhỏ loại 1,9g, dạng bột, thành phần có chứa sắt pyrophosphat trên chất mang tinh bột biến tính, maltodextrin và phụ liệu khác. Một chai nhỏ loại 30ml (có kèm ống nhỏ giọt) có thành phần gồm nước, đường, hương liệu, chất làm đặc và phụ liệu khác (không chứa cồn). Mẫu được sử dụng bằng cách thêm bột trong gói vào chai, đậy nắp và lắc đều đến khi hoàn nguyên và trước mỗi lần sử dụng	21069072
	Danazol, dạng bột	29372900
	Thép không gỉ, dạng thép góc, có hình dạng mặt cắt ngang giống như chữ L, hai cạnh có độ dài bằng nhau, chiều cao dưới 80mm, cán nóng, chưa được tráng phủ mạ hoặc sơn	72224010
	Giấy không tráng phủ đi từ bột giấy hóa học tẩy trắng, hàm lượng bột giấy cơ học và hóa cơ dưới 10% tổng khối lượng bột giấy tính theo trọng lượng, chưa được tráng phủ, chưa thấm tẩm, chưa trang trí hoặc in bề mặt, chưa nhuộm màu bề mặt, định lượng 253g/m2, độ trắng trên 60%, độ dày 367µm, hàm lượng tro 17,48%, dạng tờ, kích thước 793x1094mm, dùng để in.	48025839
	Paraffin đã clo hóa, dạng lỏng	38249999
	Chế phẩm hóa học có thành phần chính là hợp chất của Silic, Canxi, Nhôm và phụ gia, dạng bột lẫn hạt, thường dùng làm chất khử oxit trong lò luyện thép	38249999
	Hỗn hợp các muối vô cơ dùng trong sản xuất gạch men, thành phần chính là natri tripolyphosphate, natri silicat	38249999
	Chế phẩm phá bọt có thành phần chính là sáp paraffin, ester của acid béo, chất hoạt động bề mặt,... phân tán trong môi trường nước	38249999
	Chế phẩm hóa học có thành phần chính là thiourea, natri clorua và phụ gia, dạng bột	38249999
	 Vitamin A  palmitate, dạng bột.	29362100
	Thép hợp kim, cán nóng, trong đó Bo là nguyên tố duy nhất quyết định yếu tố thép hợp kim (hàm lượng B>0.0008% tính theo trọng lượng) dạng giống hình chữ H, cạnh phía trong và phía ngoài có cùng độ dày, mặt trong của cạnh trên và cạnh dưới không có độ dốc. Kích thước (chiều cao x chiều rộng x độ dày bụng x độ dày cánh x chiều dài) là (100x56.5x4.4x5x6000)mm, không giống kích thước trong bảng kích thước của thép hình chữ I (Bảng 1-TCVN 7571-15:2006) và thép hình chữ H (Bảng 4 - TCVN 7571-16:2017)	72287010
	Hỗn hợp của cà chua nguyên quả ( còn nguyên hạt , đã lột vỏ ) với nước ép cà chua , axit citric , đóng gói 2,5kg / hộp	20021000
	Giấy Kraft đã tráng phủ hai mặt bằng hợp chất vô cơ, làm toàn bộ từ bột giấy đã tẩy trắng có hàm lượng bột giấy từ gỗ thu được từ quá trình hóa học trên 95% so với tổng lượng bột giấy tính theo trọng lượng, chưa in, dạng cuộn, khổ 8,2cm, định lượng 72g/m2 đượcj dùng bằng giấy gói thuốc lá.	48103139
	Giấy lụa lau loại 3 lớp, thành phần 100% bột giấy hóa học chưa tẩy trắng, bề mặt chưa ngâm tẩm hay tráng phủ, chưa in, chưa nhuộm màu; dạng tờ hình chữ nhật, kích thước dài x rộng (17 x 12)cm, định lượng 41g/m2 (3lớp), đã đóng gói bán lẻ dạng gói rút, 300 tờ/gói.	48182000
	Giấy lụa lau loại 3 lớp, thành phần 100% bột giấy hóa học chưa tẩy trắng, bề mặt chưa ngâm tẩm hay tráng phủ, chưa in, chưa nhuộm màu; dạng tờ hình chữ nhật, kích thước dài x rộng (18 x 12)cm, định lượng 42,5g/m2 (3lớp), đã đóng gói bán lẻ dạng gói rút, 300 tờ/gói.	48182000
	Chế phẩm chất xúc tác dùng trong sản xuất sơn có thành phần gồm 1,1-Di-(tert-butylperoxy)-3,3,5-trimethylcyclohexane, lauroyl peroxide trong các dung môi hữu cơ.	38159000
	Polystyren dạng tấm xốp, mềm, màu trắng dày 5mm, chưa được gia cố, chưa gắn lớp mặt, chưa được bổ trợ hoặc chưa được kết hợp với các vật liệu khác.	39211191
	Tấm nhựa polystyren không xốp không cứng dày 0,76mm, chưa gia cố, chưa gắn lớp mặt, chưa bổ trợ hoặc kết hợp với vật liệu khác, một mặt đã được tráng phủ bằng lớp bột nhôm mỏng và sơn lớp bảo vệ bên ngoài, mặt còn lại được bảo vệ bằng lớp giấy tự dính.	39203092
	Chế phẩm hóa chất dùng làm sạch bề mặt kim loại (tạo nhám) thành phần là muối đồng clorua và phụ gia, trong môi trường axit, dạng lỏng (công dụng theo tên thương mại)	38101000
	Chế phẩm chống nắng dạng dung dịch (lotion), thành phần có chứa trimethyl hexanol, octadecene, butyl methoxydibenzoymethane, ethylhexyl salicylate, oxybenzone, tocophero..., đóng gói 90ml/tuýp	33049930
	Chế phẩm hóa chất dùng làm sạch bề mặt kim loại (tạo nhám) thành phần là hỗn hợp muối kim loại của formic acid, axit formic và phụ gia dạng lỏng (công dụng theo tên thương mại)	38101000
	Chế phẩm bôi da, dạng gel, dùng làm mềm, mát da sau khi đi nắng, thành phần có chứa ethanol, carbomer, pentaethylene Glycol, tetraethylene glycol, heptaethylene glycol, nước, chiết xuất thực vật, hương..., đóng gói 90ml/tuýp.	33049990
	Giấy lụa lau loại 3 lớp, thành phần 100% bột giấy hóa học chưa tẩy trắng, bề mặt chưa ngâm tẩm hay tráng phủ, chưa in, chưa nhuộm màu; dạng tờ hình chữ nhật, kích thước dài x rộng (17 x 12)cm, định lượng 40g/m2 (3lớp), đã đóng gói bán lẻ dạng gói rút, 300 tờ/gói.	48182000
	Chế phẩm chống nắng dạng lỏng, thành phần có chứa trimethyl hexanol, octadecene, butyl methoxydibenzoymethane, ethylhexyl salicylate, oxybenzone, tocophero..., đóng gói dạng bình xịt 170g	33049990
	Hợp kim Fero Crom có hàm lượng cacbon trên 4% tính theo trọng lượng, dạng khối. 	72024100
	Chế phẩm bôi da, dạng gel, dùng làm mềm, mát da sau khi đi nắng, thành phần có chứa ethanol, carbomer, pentaethylene Glycol, tetraethylene glycol, heptaethylene glycol, nước, chiết xuất thực vật, hương..., đóng gói 230g/chai.	33049990
	Chế phẩm hóa học có thành phần chính là muối của natri và kali với flo và silic, trong môi trường nước.	38249999
	Hỗn hợp hóa chất dùng trong chế biến thực phẩm, thành phần gồm Butylate hydroxyanisole, butylated hydroxytoluene, dạng lỏng.	38249970
	Màng poly (etylen terephthalate) không xốp, chưa được gia cố, chưa gắn lớp mặt, chưa được bổ trợ và được phủ bề mặt lớp kim loại (chủ yếu là nhôm), dày ̴ 0,012 mm, khổ rộng 770 mm.	39206290
	Mẫu yêu cầu phân tích là chế phẩm dùng trong sản xuất thực phẩm, thành phần chứa tinh bột, đường, vitamin K2 và phụ gia, dạng bột đã tạo hạt. (Trên cơ sở kết quả giám định tại phiếu phân tích số 18XG2862 ngày 18 tháng 8 năm 2018 của Trung tâm Kiểm nghiệm – Viện Thực phẩm chức năng).	21069091
	Xơ bông đã chải thô, chải kỹ, ở dạng cúi	52030000
	Protein cô đặc từ mầm gạo, dạng bột, đã đóng gói bán lẻ trong túi 250g. Thành phần gồm protein ≈ 77.50%, hàm lượng tro ≈ 1.4%, chất béo ≈ 0.02%, hương vani và phụ gia.	21061000
	Mẫu yêu cầu phân tích là Chế phẩm làm sạch có thành phần chính gồm ethylenediaminetetraacel acid (EDTA), natri hydroxit, dạng lỏng	34029013
	chế phẩm tẩy rửa làm sạch có chứa chất hoạt động bề mặt nonionic, dạng sáp, đã được đóng gói bán lẻ, trọng lượng 180g/lọ được dùng làm sạch bồn cầu nhà vệ sinh	34022095
	Protein cô đặc từ đậu nành, dạng bột, đã đóng gói bán lẻ trong túi 250g. Thành phần gồm protein ≈ 82.54%, hàm lượng tro ≈ 3.6%, chất béo ≈ 2.55% và phụ gia.	21061000
	Doxycyclin	29413000
	Protein cô đặc từ mầm gạo, dạng bột, đã đóng gói bán lẻ trong túi 250g. Thành phần gồm protein ≈ 82.35%, hàm lượng tro ≈ 1.22%, chất béo ≈ 0.01% và phụ gia.	21061000
	Bộ phận của bút cảm ứng (một phụ kiện của các máy xử lý dữ liệu tự động)  bằng nhựa Bisphenol - A- Polycarbonat	84733090
	Axit Dodecanedioic, dạng bột.	29171900
	Mẫu là dung dịch các muối Alkyl Ammonium của axit hữu cơ (Alkyl Ammonium Salt of an unsaturated Acidic Carboxylate Acid Ester) trong dung môi hữu cơ	38249999
	Tinh quặng sắt đã qua quá trình nung kết. Thành phần khoáng vật chủ yếu là nhóm magnetit ≈ 72%, hematit (do magnetit biến đổi thành) ≈ 15%, limonit ≈ 8%, phi quặng ≈ 5% tính theo khối lượng. Mẫu có hàm lượng Fe đạt 66.95%.	26011290
	Chế phẩm hữu cơ hoạt động bề mặt dạng không phân ly từ polysiloxan đã được biến tính trong dung môi hữu cơ	34029019
	Gỗ từ cây thông, được xẻ theo chiều dọc, dạng thanh, chưa được tăng độ rắn. Kích thước dày ~45mm, rộng ~125mm, dài ~1000mm.	44071100
	Chế phẩm hóa học có thành phần chính là bột canxi cacbonat có tráng phủ axit béo và sáp nhân tạo từ este của axit béo dùng làm chất ổn định cho nhựa	38123900
	Kẽm borat, dạng bột	28402000
	Chế phẩm dùng trong chế biến thực phẩm, thành phần có chứa đường, protein, chất béo, tinh bột, bột khoai môn và phụ gia, dạng paste, sử dụng làm nhân bánh.	21069099
	Chế phẩm dùng trong chế biến thực phẩm, thành phần có chứa đường, protein, chất béo, tinh bột, bột hạt sen và phụ gia, dạng paste, sử dụng làm nhân bánh.	21069099
	Chế phẩm dùng trong chế biến thực phẩm, thành phần có chứa đường, protein, chất béo, tinh bột, bột đậu đỏ và phụ gia, dạng paste, sử dụng làm nhân bánh.	21069099
	Chế phẩm đánh bóng lốp xe cao su, thành phần chính là polydimethylsiloxane, chất nhũ hóa... trong môi trường nước, đã đóng gói bán lẻ dạng bình xịt có vòi phun dung tích 473 ml.	34059090
	Chế phẩm dùng trong chế biến thực phẩm, thành phần có chứa đường, protein, chất béo, tinh bột, bột trà xanh, và phụ gia, dạng paste, sử dụng làm nhân bánh.	21069099
	Chế phẩm dùng làm gia vị trong chế biến thực phẩm, có thành phần gồm rượu gạo, đường khử và phụ gia, dạng lỏng (cooking sauce)	21039019
	Chế phẩm thực phẩm dạng lỏng, thành phần có chứa rượu (nồng độ cồn ≈ 14% thể tích), đường khử, axit amin, dùng làm gia vị nấu ăn (sake cooking), đóng gói 18 lít/thùng.	21039019
	Dung dịch (lotion) nước cân bằng giúp se khít lỗ chân lông dành cho da mụn, thành phần có chứa glycerin,natri citrat, dinatri EDTA, capryloyl salicylic axit, axit citric, hương liệu, …trong nước, đã đóng gói bán lẻ trong chai nhựa, dung tích 200ml/chai. Nhãn sản phẩm : LA ROCHE-POSAY LABORATOIRE DERMATOLOGIQUE EFFACLAR ASTRINGENT LOTION MICRO-EXFOLIANT ANTI-BLACKHEADS	33049930
	Chế phẩm dùng trong chế biến thực phẩm, thành phần có chứa đường, protein, chất béo, tinh bột, bột hạt dẻ và phụ gia, dạng paste, sử dụng làm nhân bánh.	21069099
	Polypropylen có chứa chất độn, không xác định được chính xác tỷ trọng, nguyên sinh, dạng hạt.	39021040
	Chế phẩm hóa học có chứa hỗn hợp của hợp chất silic và canxi cacbonat phân tán trong nhựa (Hàm lượng chất vô cơ lớn hơn 80% tính theo trong lượng), dạng hạt	38249999
	Cyclohexane-1,4-Dimethanol.	29061900
	Chế phẩm ổn định cho plastic, thành phần chính là Bis(1,2,2,6,6-pentamethyl-4-piperidyl)sebacat và 1 -(Methyl)-8-(1,2,2,6,6-pentamethyl-4-piperidyl)sebacat.	38123900
	Dung dịch nước khoáng làm dịu mát da và giảm bóng nhờn cho da dầu, thành phần có chứa kẽm sulphat, natri clorua trong nước, dạng dung dịch đựng trong bình xịt, đã đóng gói bán lẻ, dung tích 50ml/chai. Nhãn sản phẩm : LA ROCHE-POSAY LABORATOIRE DERMATOLOGIQUE SEROZINC ZINC SULFATE SOLUTION CLEANSING, SOOTHING.	33049990
	Cáp kết nối tín hiệu từ bộ điều khiển từ xa (RRU: Remote Radio Unit) đến ăng ten, để điều chỉnh pha của ăng ten thông qua RRU, cách điện bằng plastic, là loại cáp truyền tín hiệu điều khiển, không phải loại cáp dùng cho lĩnh vực viễn thông để truyền dẫn các tín hiệu viễn thông	85444299
